泉州频道,#genre#
泉州一套,http://live1.setvn.com:8060/live/qz1_1200.m3u8
泉州一套,http://live1.setvn.com:9096/live/qz1_1200.m3u8
泉州二套,http://live1.setvn.com:8060/live/qz2_1200.m3u8
泉州二套,http://live1.setvn.com:9096/live/qz2_1200.m3u8
泉州三套,http://live1.setvn.com:8060/live/qz3_1200.m3u8
泉州三套,http://live1.setvn.com:9096/live/qz3_1200.m3u8
泉州四套,http://live1.setvn.com:8060/live/qz4_1200.m3u8
泉州四套,http://live1.setvn.com:9096/live/qz4_1200.m3u8

福建移动,#genre#

凤凰中文,http://39.135.225.5:18890/PLTV/88888888/224/3221225900/index.m3u8
凤凰资讯,http://39.135.225.5:18890/PLTV/88888888/224/3221225901/index.m3u8
CCTV1,http://39.135.225.5:18890/PLTV/88888888/224/3221225922/index.m3u8
CCTV1,http://39.135.225.5:18890/PLTV/88888888/224/3221225829/index.m3u8
CCTV1,http://39.135.225.5:18890/PLTV/88888888/224/3221227014/index.m3u8
CCTV1,http://39.135.225.5:18890/PLTV/88888888/224/3221225812/index.m3u8
CCTV1,http://39.135.225.5:18890/PLTV/88888888/224/3221226715/index.m3u8
CCTV1,http://39.135.225.5:18890/PLTV/88888888/224/3221226715/index.m3u8
CCTV1,http://39.135.225.5:18890/PLTV/88888888/224/3221226908/index.m3u8
CCTV2,http://39.135.225.5:18890/PLTV/88888888/224/3221225800/index.m3u8
CCTV2,http://39.135.225.5:18890/PLTV/88888888/224/3221226795/index.m3u8
CCTV2,http://39.135.225.5:18890/PLTV/88888888/224/3221225923/index.m3u8
CCTV4,http://39.135.225.5:18890/PLTV/88888888/224/3221225802/index.m3u8
东方卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226560/index.m3u8
CCTV5+,http://39.135.225.5:18890/PLTV/88888888/224/3221225821/index.m3u8
CCTV5+,http://39.135.225.5:18890/PLTV/88888888/224/3221225939/index.m3u8
CCTV7,http://39.135.225.5:18890/PLTV/88888888/224/3221226803/index.m3u8
CCTV7,http://39.135.225.5:18890/PLTV/88888888/224/3221225805/index.m3u8
CCTV7,http://39.135.225.5:18890/PLTV/88888888/224/3221225927/index.m3u8
CCTV7,http://39.135.225.5:18890/PLTV/88888888/224/3221226998/index.m3u8
CCTV7,http://39.135.225.5:18890/PLTV/88888888/224/3221226998/index.m3u8
CCTV9,http://39.135.225.5:18890/PLTV/88888888/224/3221225820/index.m3u8
CCTV9,http://39.135.225.5:18890/PLTV/88888888/224/3221225929/index.m3u8
CCTV10,http://39.135.225.5:18890/PLTV/88888888/224/3221225814/index.m3u8
CCTV10,http://39.135.225.5:18890/PLTV/88888888/224/3221225931/index.m3u8
CCTV11,http://39.135.225.5:18890/PLTV/88888888/224/3221225815/index.m3u8
CCTV12,http://39.135.225.5:18890/PLTV/88888888/224/3221225816/index.m3u8
CCTV12,http://39.135.225.5:18890/PLTV/88888888/224/3221225932/index.m3u8
CCTV13,http://39.135.225.5:18890/PLTV/88888888/224/3221225817/index.m3u8
CCTV14,http://39.135.225.5:18890/PLTV/88888888/224/3221225819/index.m3u8
CCTV14,http://39.135.225.5:18890/PLTV/88888888/224/3221225933/index.m3u8
CCTV15,http://39.135.225.5:18890/PLTV/88888888/224/3221225818/index.m3u8
CCTV17,http://39.135.225.5:18890/PLTV/88888888/224/3221226990/index.m3u8
CCTV17,http://39.135.225.5:18890/PLTV/88888888/224/3221226990/index.m3u8
CCTV17,http://39.135.225.5:18890/PLTV/88888888/224/3221226986/index.m3u8
CCTV17,http://39.135.225.5:18890/PLTV/88888888/224/3221226986/index.m3u8
东南卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226877/index.m3u8
东方卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225828/index.m3u8
东方卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226873/index.m3u8
东方卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225936/index.m3u8
北京卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225826/index.m3u8
北京卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225937/index.m3u8
天津卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225830/index.m3u8
